"","participant","workerId","browser","beginhit","PracGlyph_21","rt_21","moves_21","PracGlyph_22","rt_22","moves_22","Sub_24","Vrb_24","Obj_24","rt_24","moves_24","Sub_25","Vrb_25","Obj_25","rt_25","moves_25","Sub_26","Vrb_26","Obj_26","rt_26","moves_26","Sub_27","Vrb_27","Obj_27","rt_27","moves_27","Sub_28","Vrb_28","Obj_28","rt_28","moves_28","Sub_29","Vrb_29","Obj_29","rt_29","moves_29","Sub_30","Vrb_30","Obj_30","rt_30","moves_30","Sub_31","Vrb_31","Obj_31","rt_31","moves_31","Sub_32","Vrb_32","Obj_32","rt_32","moves_32","Sub_33","Vrb_33","Obj_33","rt_33","moves_33","Sub_34","Vrb_34","Obj_34","rt_34","moves_34","Sub_35","Vrb_35","Obj_35","rt_35","moves_35","Sub_36","Vrb_36","Obj_36","rt_36","moves_36","Sub_37","Vrb_37","Obj_37","rt_37","moves_37","Sub_38","Vrb_38","Obj_38","rt_38","moves_38","Sub_39","Vrb_39","Obj_39","rt_39","moves_39","Sub_40","Vrb_40","Obj_40","rt_40","moves_40","Sub_41","Vrb_41","Obj_41","rt_41","moves_41","feedback"
"1",1,"A25ROS9CH7PSFZ","chrome","2015-03-24 20:31:18.695989","g7",NA,"[{""src"":""g7.png"",""x"":609,""y"":81},{""src"":""g7.png"",""x"":137,""y"":130},{""src"":""g7.png"",""x"":337,""y"":63}]","g14",10477,"[{""src"":""g14.png"",""x"":345,""y"":85}]",NA,NA,"g16",NA,"[{""src"":""g7.png"",""x"":421,""y"":0},{""src"":""g6.png"",""x"":415,""y"":104},{""src"":""g16.png"",""x"":416,""y"":213}]","g5","g10","g7",22290,"[{""src"":""g5.png"",""x"":416,""y"":0},{""src"":""g10.png"",""x"":418,""y"":116},{""src"":""g7.png"",""x"":418,""y"":212}]","g14","g3","none",24316,"[{""src"":""g14.png"",""x"":409,""y"":0},{""src"":""g3.png"",""x"":398,""y"":114}]","g7","g10","g13",25268,"[{""src"":""g7.png"",""x"":420,""y"":0},{""src"":""g10.png"",""x"":410,""y"":108},{""src"":""g13.png"",""x"":406,""y"":215}]","g7","g9","g12",15334,"[{""src"":""g7.png"",""x"":418,""y"":0},{""src"":""g9.png"",""x"":414,""y"":100},{""src"":""g12.png"",""x"":418,""y"":212}]","g12","g4","g16",23620,"[{""src"":""g12.png"",""x"":438,""y"":0},{""src"":""g4.png"",""x"":438,""y"":105},{""src"":""g16.png"",""x"":433,""y"":212}]","g5","g9","g13",38127,"[{""src"":""g4.png"",""x"":491,""y"":501},{""src"":""g5.png"",""x"":415,""y"":0},{""src"":""g9.png"",""x"":423,""y"":104},{""src"":""g13.png"",""x"":417,""y"":211}]","g1","g11","g5",21655,"[{""src"":""g1.png"",""x"":410,""y"":0},{""src"":""g11.png"",""x"":410,""y"":104},{""src"":""g5.png"",""x"":412,""y"":211}]","g5","g6","g1",24076,"[{""src"":""g5.png"",""x"":425,""y"":0},{""src"":""g6.png"",""x"":423,""y"":103},{""src"":""g1.png"",""x"":419,""y"":203}]","g1","g8","g16",36397,"[{""src"":""g1.png"",""x"":419,""y"":0},{""src"":""g8.png"",""x"":420,""y"":103},{""src"":""g16.png"",""x"":415,""y"":212}]","g5","g4","g7",27483,"[{""src"":""g5.png"",""x"":403,""y"":0},{""src"":""g4.png"",""x"":401,""y"":102},{""src"":""g7.png"",""x"":400,""y"":200}]","g5","g15","none",18335,"[{""src"":""g5.png"",""x"":399,""y"":0},{""src"":""g15.png"",""x"":408,""y"":119}]","g1","g3","none",17724,"[{""src"":""g1.png"",""x"":410,""y"":0},{""src"":""g3.png"",""x"":404,""y"":129}]","g12","g8","g5",12245,"[{""src"":""g12.png"",""x"":406,""y"":0},{""src"":""g8.png"",""x"":405,""y"":109},{""src"":""g5.png"",""x"":414,""y"":206}]","g12","g2","g1",21680,"[{""src"":""g12.png"",""x"":411,""y"":0},{""src"":""g2.png"",""x"":409,""y"":100},{""src"":""g1.png"",""x"":403,""y"":209}]","g16","g3","none",21915,"[{""src"":""g16.png"",""x"":410,""y"":0},{""src"":""g3.png"",""x"":404,""y"":122}]","g12","g11","g14",17841,"[{""src"":""g12.png"",""x"":417,""y"":0},{""src"":""g11.png"",""x"":415,""y"":105},{""src"":""g14.png"",""x"":416,""y"":211}]","g5","g2","g14",13550,"[{""src"":""g5.png"",""x"":415,""y"":0},{""src"":""g2.png"",""x"":414,""y"":110},{""src"":""g14.png"",""x"":419,""y"":217}]","{""Q0"":""No"",""Q1"":""No"",""Q2"":""No"",""Q3"":""Yes""}"
"2",2,"AGFWV1U4CJXP5","chrome","2015-03-24 20:31:24.867074","g5",NA,"[{""src"":""g5.png"",""x"":594,""y"":86},{""src"":""g5.png"",""x"":407,""y"":89},{""src"":""g5.png"",""x"":452,""y"":91},{""src"":""g5.png"",""x"":607,""y"":80},{""src"":""g5.png"",""x"":405,""y"":103},{""src"":""g5.png"",""x"":426,""y"":503},{""src"":""g5.png"",""x"":503,""y"":81}]","g7",10972,"[{""src"":""g7.png"",""x"":571,""y"":11},{""src"":""g7.png"",""x"":462,""y"":54}]",NA,NA,"g1",NA,"[{""src"":""g6.png"",""x"":484,""y"":14},{""src"":""g6.png"",""x"":418,""y"":56},{""src"":""g10.png"",""x"":535,""y"":61},{""src"":""g1.png"",""x"":652,""y"":57}]","g5","g14","g2",23490,"[{""src"":""g5.png"",""x"":419,""y"":23},{""src"":""g10.png"",""x"":532,""y"":29},{""src"":""g2.png"",""x"":662,""y"":30}]","g6","g13","g3",30445,"[{""src"":""g6.png"",""x"":409,""y"":65},{""src"":""g13.png"",""x"":524,""y"":64},{""src"":""g3.png"",""x"":627,""y"":58}]","g1","g13","g2",23434,"[{""src"":""g1.png"",""x"":395,""y"":70},{""src"":""g13.png"",""x"":517,""y"":73},{""src"":""g2.png"",""x"":636,""y"":80}]","g3","g11","g5",21691,"[{""src"":""g3.png"",""x"":411,""y"":104},{""src"":""g11.png"",""x"":536,""y"":104},{""src"":""g1.png"",""x"":654,""y"":98}]","g5","g16","g6",27646,"[{""src"":""g5.png"",""x"":411,""y"":106},{""src"":""g16.png"",""x"":512,""y"":106},{""src"":""g6.png"",""x"":615,""y"":89}]","g6","g8","g7",22140,"[{""src"":""g6.png"",""x"":414,""y"":81},{""src"":""g8.png"",""x"":521,""y"":95},{""src"":""g7.png"",""x"":645,""y"":96}]","g7","g15","none",21776,"[{""src"":""g7.png"",""x"":429,""y"":139},{""src"":""g15.png"",""x"":570,""y"":130}]","g6","g11","g2",17648,"[{""src"":""g6.png"",""x"":398,""y"":76},{""src"":""g2.png"",""x"":633,""y"":85},{""src"":""g11.png"",""x"":512,""y"":72}]","g3","g4","none",27378,"[{""src"":""g3.png"",""x"":415,""y"":92},{""src"":""g15.png"",""x"":529,""y"":111},{""src"":""g15.png"",""x"":0,""y"":503},{""src"":""g4.png"",""x"":562,""y"":94}]","g1","g8","g3",16648,"[{""src"":""g1.png"",""x"":429,""y"":55},{""src"":""g8.png"",""x"":534,""y"":61},{""src"":""g3.png"",""x"":654,""y"":61}]","g3","g16","g9",24688,"[{""src"":""g3.png"",""x"":394,""y"":75},{""src"":""g9.png"",""x"":619,""y"":83},{""src"":""g16.png"",""x"":509,""y"":83}]","g1","g15","none",32595,"[{""src"":""g1.png"",""x"":404,""y"":61},{""src"":""g15.png"",""x"":514,""y"":86}]","g2","g15","none",13839,"[{""src"":""g2.png"",""x"":416,""y"":93},{""src"":""g15.png"",""x"":539,""y"":100}]","g5","g12","g9",22321,"[{""src"":""g5.png"",""x"":401,""y"":71},{""src"":""g12.png"",""x"":524,""y"":80},{""src"":""g9.png"",""x"":650,""y"":87}]","g3","g10","g7",21006,"[{""src"":""g3.png"",""x"":415,""y"":53},{""src"":""g10.png"",""x"":538,""y"":60},{""src"":""g7.png"",""x"":650,""y"":63}]","g3","g12","g5",25829,"[{""src"":""g3.png"",""x"":415,""y"":80},{""src"":""g12.png"",""x"":529,""y"":86},{""src"":""g5.png"",""x"":628,""y"":84}]","g3","g14","g1",21018,"[{""src"":""g3.png"",""x"":400,""y"":66},{""src"":""g14.png"",""x"":503,""y"":64},{""src"":""g1.png"",""x"":620,""y"":73}]","{""Q0"":""fun survey"",""Q1"":""yes"",""Q2"":""no"",""Q3"":""yes""}"
"3",3,"A2XNVGK4YCEWF","firefox","2015-03-24 20:52:10.932374","g5",NA,"[{""src"":""g5.png"",""x"":638,""y"":44}]","g16",5532,"[{""src"":""g16.png"",""x"":683,""y"":60}]",NA,NA,"g4",NA,"[{""src"":""g16.png"",""x"":620,""y"":48},{""src"":""g13.png"",""x"":703,""y"":23},{""src"":""g4.png"",""x"":696,""y"":89}]","g4","g8","none",15122,"[{""src"":""g4.png"",""x"":630,""y"":66},{""src"":""g8.png"",""x"":703,""y"":60}]","g11","g8","none",27052,"[{""src"":""g11.png"",""x"":612,""y"":66.99998474121094},{""src"":""g8.png"",""x"":703,""y"":64.99998474121094}]","g7","g10","g5",40524,"[{""src"":""g7.png"",""x"":620,""y"":0},{""src"":""g10.png"",""x"":625,""y"":100.99998474121094},{""src"":""g4.png"",""x"":491,""y"":503},{""src"":""g5.png"",""x"":703,""y"":94.99998474121094}]","g7","g9","g16",15433,"[{""src"":""g7.png"",""x"":612,""y"":43},{""src"":""g9.png"",""x"":679,""y"":66},{""src"":""g16.png"",""x"":664,""y"":103}]","g11","g15","g4",18024,"[{""src"":""g11.png"",""x"":604,""y"":30},{""src"":""g15.png"",""x"":703,""y"":31},{""src"":""g4.png"",""x"":622,""y"":104}]","g12","g9","g4",16265,"[{""src"":""g12.png"",""x"":596,""y"":0},{""src"":""g9.png"",""x"":703,""y"":6.9999847412109375},{""src"":""g4.png"",""x"":703,""y"":101.99998474121094}]","g5","g8","none",13311,"[{""src"":""g5.png"",""x"":604,""y"":1},{""src"":""g8.png"",""x"":703,""y"":96}]","g11","g14","g7",19024,"[{""src"":""g11.png"",""x"":607,""y"":0},{""src"":""g14.png"",""x"":703,""y"":211},{""src"":""g14.png"",""x"":703,""y"":196},{""src"":""g14.png"",""x"":703,""y"":190},{""src"":""g14.png"",""x"":703,""y"":0},{""src"":""g7.png"",""x"":670,""y"":110}]","g7","g6","g2",20529,"[{""src"":""g7.png"",""x"":612,""y"":12},{""src"":""g6.png"",""x"":703,""y"":11},{""src"":""g2.png"",""x"":662,""y"":102}]","g7","g3","g16",14823,"[{""src"":""g7.png"",""x"":607,""y"":0},{""src"":""g3.png"",""x"":703,""y"":0},{""src"":""g16.png"",""x"":651,""y"":103.99998474121094}]","g12","g10","g11",23648,"[{""src"":""g12.png"",""x"":604,""y"":3.9999847412109375},{""src"":""g10.png"",""x"":703,""y"":12.999984741210938},{""src"":""g11.png"",""x"":644,""y"":105.99998474121094}]","g12","g15","g7",15468,"[{""src"":""g12.png"",""x"":603,""y"":0},{""src"":""g15.png"",""x"":703,""y"":0},{""src"":""g7.png"",""x"":650,""y"":103}]","g16","g3","g2",15493,"[{""src"":""g16.png"",""x"":602,""y"":1},{""src"":""g3.png"",""x"":703,""y"":4},{""src"":""g2.png"",""x"":652,""y"":104}]","g7","g1","none",15991,"[{""src"":""g7.png"",""x"":608,""y"":0},{""src"":""g1.png"",""x"":703,""y"":8.999984741210938}]","g7","g13","g11",18249,"[{""src"":""g7.png"",""x"":605,""y"":2.9999847412109375},{""src"":""g13.png"",""x"":702,""y"":0},{""src"":""g11.png"",""x"":664,""y"":95.99998474121094}]","g16","g6","g12",19727,"[{""src"":""g16.png"",""x"":600,""y"":0},{""src"":""g6.png"",""x"":699,""y"":2},{""src"":""g12.png"",""x"":600,""y"":112},{""src"":""g12.png"",""x"":607,""y"":93}]","g12","g14","g5",21772,"[{""src"":""g12.png"",""x"":633,""y"":30},{""src"":""g12.png"",""x"":601,""y"":1},{""src"":""g14.png"",""x"":697,""y"":0},{""src"":""g5.png"",""x"":643,""y"":100}]","{""Q0"":""No."",""Q1"":""No."",""Q2"":""No."",""Q3"":""Yes.""}"
"4",4,"A28RX7L0QZ993M","chrome","2015-03-24 21:57:50.160849","g4",NA,"[{""src"":""g16.png"",""x"":624,""y"":84},{""src"":""g16.png"",""x"":96,""y"":102},{""src"":""g16.png"",""x"":383,""y"":84},{""src"":""g16.png"",""x"":653,""y"":68}]","g13",16976,"[{""src"":""g13.png"",""x"":657,""y"":60}]",NA,NA,"g16",NA,"[{""src"":""g12.png"",""x"":621,""y"":21},{""src"":""g13.png"",""x"":695,""y"":68}]","g4","g11","g5",64177,"[{""src"":""g4.png"",""x"":617,""y"":11},{""src"":""g5.png"",""x"":684,""y"":18},{""src"":""g11.png"",""x"":664,""y"":82}]","g16","g8","g4",24822,"[{""src"":""g4.png"",""x"":625,""y"":11},{""src"":""g16.png"",""x"":623,""y"":92},{""src"":""g11.png"",""x"":701,""y"":99}]","g16","g2","g12",52796,"[{""src"":""g12.png"",""x"":603,""y"":10},{""src"":""g16.png"",""x"":631,""y"":81},{""src"":""g2.png"",""x"":683,""y"":89}]","g12","g14","g10",34475,"[{""src"":""g13.png"",""x"":618,""y"":14},{""src"":""g14.png"",""x"":606,""y"":83},{""src"":""g10.png"",""x"":701,""y"":78}]","g12","g7","g16",32752,"[{""src"":""g12.png"",""x"":624,""y"":6},{""src"":""g16.png"",""x"":626,""y"":84},{""src"":""g7.png"",""x"":699,""y"":80}]","g16","g3","none",28680,"[{""src"":""g16.png"",""x"":606,""y"":33},{""src"":""g3.png"",""x"":666,""y"":55}]","g5","g7","g13",27909,"[{""src"":""g5.png"",""x"":612,""y"":19},{""src"":""g7.png"",""x"":612,""y"":88},{""src"":""g13.png"",""x"":681,""y"":99}]","g16","g1","g13",37129,"[{""src"":""g16.png"",""x"":617,""y"":20},{""src"":""g1.png"",""x"":619,""y"":87},{""src"":""g13.png"",""x"":703,""y"":70}]","g12","g15","none",37989,"[{""src"":""g12.png"",""x"":610,""y"":27},{""src"":""g15.png"",""x"":683,""y"":78}]","g10","g15","none",16383,"[{""src"":""g10.png"",""x"":630,""y"":28},{""src"":""g15.png"",""x"":645,""y"":89}]","g4","g8","g6",20150,"[{""src"":""g4.png"",""x"":613,""y"":11},{""src"":""g11.png"",""x"":687,""y"":11},{""src"":""g6.png"",""x"":683,""y"":93}]","g5","g9","g10",20377,"[{""src"":""g5.png"",""x"":608,""y"":5},{""src"":""g9.png"",""x"":620,""y"":65},{""src"":""g10.png"",""x"":679,""y"":84}]","g16","g11","g6",20821,"[{""src"":""g16.png"",""x"":603,""y"":8},{""src"":""g7.png"",""x"":417,""y"":391},{""src"":""g11.png"",""x"":692,""y"":16},{""src"":""g6.png"",""x"":612,""y"":94}]","g5","g1","g12",33700,"[{""src"":""g5.png"",""x"":603,""y"":17},{""src"":""g1.png"",""x"":691,""y"":15},{""src"":""g12.png"",""x"":594,""y"":91},{""src"":""g15.png"",""x"":694,""y"":92},{""src"":""g12.png"",""x"":605,""y"":91}]","g16","g9","g4",17735,"[{""src"":""g16.png"",""x"":607,""y"":17},{""src"":""g9.png"",""x"":696,""y"":30},{""src"":""g4.png"",""x"":643,""y"":87}]","g4","g2","g10",31248,"[{""src"":""g4.png"",""x"":597,""y"":18},{""src"":""g2.png"",""x"":690,""y"":15},{""src"":""g10.png"",""x"":659,""y"":85}]","g13","g15","none",19099,"[{""src"":""g13.png"",""x"":622,""y"":36},{""src"":""g15.png"",""x"":678,""y"":100}]","{""Q0"":""I tried to associate common everyday items for what the symbols looked like then memorized each these associations with the corresponding word."",""Q1"":""No"",""Q2"":""No"",""Q3"":""Yes, although I memorized common items that I thought they resembled (e.g. tumbling looked a bit like a drinking glass, fireman looked like a head in profile with a big forehead, etc.)""}"
"5",5,"ACULZNRBMTF25","chrome","2015-03-24 21:58:26.377750","g15",NA,"[{""src"":""g15.png"",""x"":348,""y"":64}]","g3",6693,"[{""src"":""g3.png"",""x"":382,""y"":45}]",NA,NA,"g13",NA,"[{""src"":""g3.png"",""x"":408,""y"":0},{""src"":""g2.png"",""x"":407,""y"":97},{""src"":""g13.png"",""x"":409,""y"":195}]","g13","g9","g8",29142,"[{""src"":""g13.png"",""x"":388,""y"":0},{""src"":""g9.png"",""x"":390,""y"":98},{""src"":""g10.png"",""x"":394,""y"":200},{""src"":""g8.png"",""x"":492,""y"":0}]","g16","g7","g3",35300,"[{""src"":""g3.png"",""x"":393,""y"":0},{""src"":""g7.png"",""x"":395,""y"":103},{""src"":""g3.png"",""x"":395,""y"":207},{""src"":""g16.png"",""x"":394,""y"":0}]","g16","g6","g3",49367,"[{""src"":""g16.png"",""x"":392,""y"":0},{""src"":""g6.png"",""x"":390,""y"":101},{""src"":""g3.png"",""x"":393,""y"":199}]","g13","g6","g5",33846,"[{""src"":""g13.png"",""x"":390,""y"":0},{""src"":""g6.png"",""x"":392,""y"":100},{""src"":""g5.png"",""x"":393,""y"":202}]","g5","g10","none",16878,"[{""src"":""g5.png"",""x"":399,""y"":0},{""src"":""g10.png"",""x"":399,""y"":94}]","g8","g14","g5",24835,"[{""src"":""g8.png"",""x"":397,""y"":0},{""src"":""g10.png"",""x"":402,""y"":99},{""src"":""g5.png"",""x"":398,""y"":200}]","g16","g9","g15",20644,"[{""src"":""g16.png"",""x"":392,""y"":0},{""src"":""g10.png"",""x"":389,""y"":104},{""src"":""g15.png"",""x"":397,""y"":203}]","g8","g10","none",27430,"[{""src"":""g8.png"",""x"":394,""y"":0},{""src"":""g10.png"",""x"":396,""y"":109}]","g8","g12","g16",21454,"[{""src"":""g8.png"",""x"":404,""y"":0},{""src"":""g12.png"",""x"":402,""y"":106},{""src"":""g16.png"",""x"":400,""y"":209}]","g13","g12","g15",35898,"[{""src"":""g13.png"",""x"":399,""y"":0},{""src"":""g12.png"",""x"":403,""y"":99},{""src"":""g15.png"",""x"":404,""y"":200}]","g16","g4","none",36488,"[{""src"":""g16.png"",""x"":393,""y"":0},{""src"":""g4.png"",""x"":398,""y"":106}]","g3","g7","g1",23710,"[{""src"":""g3.png"",""x"":390,""y"":0},{""src"":""g7.png"",""x"":392,""y"":101},{""src"":""g1.png"",""x"":396,""y"":201}]","g16","g2","g1",37486,"[{""src"":""g16.png"",""x"":392,""y"":0},{""src"":""g2.png"",""x"":387,""y"":101},{""src"":""g1.png"",""x"":391,""y"":204}]","g16","g11","g8",25994,"[{""src"":""g16.png"",""x"":400,""y"":0},{""src"":""g11.png"",""x"":401,""y"":104},{""src"":""g8.png"",""x"":399,""y"":213}]","g3","g11","g5",37957,"[{""src"":""g3.png"",""x"":393,""y"":0},{""src"":""g11.png"",""x"":390,""y"":101},{""src"":""g5.png"",""x"":393,""y"":205}]","g13","g14","g16",17853,"[{""src"":""g13.png"",""x"":398,""y"":0},{""src"":""g14.png"",""x"":394,""y"":104},{""src"":""g16.png"",""x"":391,""y"":209}]","g15","g10","none",16116,"[{""src"":""g15.png"",""x"":395,""y"":0},{""src"":""g10.png"",""x"":392,""y"":98}]","{""Q0"":"""",""Q1"":""No"",""Q2"":""Yes"",""Q3"":""Yes""}"
